procedure_name,speciality_classification,cost_inr
Diagnostic Hysteroscopy,Cancer Surgery,15753.939000000002
Diagnostic Hysteroscopy with or without endometrial Biopsy,Obstetrics And Gynaecology Procedure,20189.37052631579
Diagnostic Peritonioscopy/Laparoscopy,Abdomen/GI Surgery Procedure,19052.599
Diagnostic endoscopy under GA,ENT Procedure,4987.82052631579
Diagnostic hysterolaparoscopy(DHL) with or without chromopertubation/Adhesiolysis/ovarian drilling,Obstetrics And Gynaecology Procedure,18889.528
Diagnostic hysteroscopy with or without polypectomy/endometrial curettage,Obstetrics And Gynaecology Procedure,19061.877
Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),Paediatric Surgery Procedure,50404.50263157895
Differential Leucocytic Count (DLC),Laboratory Investigation,99.7705
Digital OPG with X ray film/ CD,Dental Investigation,494.15578947368414
Digital Subtraction Angiography- venogram,Cardiology Investigation,14692.7385
Digital Subtraction Angiography-Peripheral artery,Cardiology Investigation,14544.001
Dilantin (Phenytoin),Laboratory Investigation,602.8942105263158
Dilatation & Curettage,Cancer Surgery,6955.937894736842
Dilatation and Curettage(diagnostic/therapeutic) with or without Polypectomy,Obstetrics And Gynaecology Procedure,13549.35
Dilatation of Stricture Urethra under G.A.,Nephrology And Urology Procedure,4964.905789473684
Direct Immunofluorescence (Skin and Kidney Disease etc),Laboratory Investigation,1213.8526315789477
Direct Laryngoscopy including Biopsy under GA,ENT Procedure,13315.954500000002
Direct Operation on Oesophagus for Portal Hypertension,Abdomen/GI Surgery Procedure,49773.478500000005
Disarticulations - Major joint,Orthopaedics Procedure,40926.79368421053
Disarticulations - Minor joint,Orthopaedics Procedure,33351.3955
Discectomy/ Micro Discectomy,Orthopaedics Procedure,78575.92199999999
Distal biceps tendon repair,Orthopaedics Procedure,50668.688
Distraction osteogenesis of mandible or maxilla under GA,Dental Procedure,28808.818947368425
Diurnal variation of IOP - Both Eyes,Ophthalmology Investigation,1500.146
Diverticulectomy -Endoscopic incision of neck,Nephrology And Urology Procedure,33342.0855
Diverticulectomy -open,Nephrology And Urology Procedure,40831.370500000005
Diverticulectomy- Lap/Endoscopic,Nephrology And Urology Procedure,50559.1245
Donor Nephrectomy (Laparoscopic),Nephrology And Urology Procedure,104477.57842105265
Donor Nephrectomy (Open),Nephrology And Urology Procedure,60459.29349999999
Donor Specific Antibodies (DSA),Oncology Investigations,7886.233999999999
Dorsal column stimulation for backache in failed back syndrome,Neuro-Surgery Procedure,59962.31157894737
Double Hip spica,Orthopaedics Procedure,8491.3735
Double Lumen Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,13435.35
"Double Marker (Beta-hCG,PAPP-A)",Laboratory Investigation,1978.0025
Double Switch Operation (DSO),Cardiovascular And Cardiac Surgery Procedure,223885.3055555556
Double Valve Replacement (DVR),Cardiovascular And Cardiac Surgery Procedure,222591.7975
Double balloon enteroscopy,Gastroenterology / Endoscopic Procedures,18789.1565
Drainage of abscess with anaesthesia,General Procedure,13381.938421052631
Dressings of wounds,General Procedure,299.625
Duodenal Atresia Operation,Paediatric Surgery Procedure,40650.1985
Duodenal Diverticulum,Abdomen/GI Surgery Procedure,50335.8685
Duodenal stricture dilation,Gastroenterology / Endoscopic Procedures,8493.584736842104
Duodenojejunostomy,Abdomen/GI Surgery Procedure,50524.0305
Duodenotomy,Cancer Surgery,25358.33
Dynamic Hip Screw (DHS) for Fracture Neck Femur,Orthopaedics Procedure,49503.909
Dynamic Renography with Captopril,Nuclear Medicine Investigation,6821.446000000001
Dynamic Renography with Diuretic.,Nuclear Medicine Investigation,3975.1815
Dynamic Renography.,Nuclear Medicine Investigation,3996.6063157894737
EDTA for band shaped keratopathy - Both Eyes,Ophthalmology Procedure,3018.8995
EGFR Mutation DETECTION,Oncology Investigations,9545.251
EGFR Resistance Mutation (T790m Mutation Analysis),Oncology Investigations,7974.546
EOG- Electrooculogram - Both Eyes,Ophthalmology Investigation,2053.558
ER PR Her2 Neu,Oncology Investigations,3157.123
"ER/PR/Her2neu, Ki67",Oncology Investigations,4983.806315789474
ERCP (Endoscopic Retrograde Cholangio -Pancreatography) Diagnostic,Gastro and Hepatobiliary Investigation,13344.753684210527
ERG- Electroretinogram- Both Eyes,Ophthalmology Investigation,1840.86
EUS (Endoscopic Ultrasound) guided FNAC Excluding the cost of the Needle,Gastroenterology / Endoscopic Procedures,16526.027
Ear Lobe Repair one side,ENT Procedure,4004.1925
Ectropion surgery- both lids,Ophthalmology Procedure,13263.3785
Ectropion surgery- one lid,Ophthalmology Procedure,8460.5835
Elbow Rplacement,Cancer Surgery,31592.0795
Electrical Muscle Stimulation/Cryotherapy/TENS (per session),Physiotherapy,401.617
Electrocardiogram (ECG),Cardiology Investigation,174.888
Electroencephalogram (EEG)/ Video EEG,Neurology Investigation,1000.09
Electrolysis (eye) - Both Eyes,Ophthalmology Procedure,1003.637894736842
Electromyography (EMG),Neurology Investigation,1505.8947368421052
Electronystagmography (ENG),ENT Investigation,1487.7885
Embolectomy,Cardiovascular And Cardiac Surgery Procedure,72457.76947368421
En Bloc Excision + Reconstruction,Cancer Surgery,44405.637
En Bloc Upper Humerus Excision,Cancer Surgery,31522.2495
Endarterectomy (Carotid),Neuro-Surgery Procedure,59586.61315789473
Endo bronchial Ultrasound (EBUS) -Trans bronchial needle aspiration (TBNA) -Excluding the cost of Needle,Pulmonology Procedure,19849.096
Endocyclophotocoagulation per eye,Ophthalmology Procedure,18011.745263157893
Endolymphatic sac decompression,ENT Procedure,41250.93421052631
Endometrial aspiration cytology/biopsy (including Pipelle Charges),Obstetrics And Gynaecology Procedure,2998.17
Endoscopic 3rd ventriculostomy,Neuro-Surgery Procedure,50005.0155
Endoscopic Bulking agent Inject (including cost of bulking agent),Nephrology And Urology Procedure,33384.1485
Endoscopic CSF rhinorrhoea repair,Neuro-Surgery Procedure,49974.21157894737
Endoscopic Dacryocystorhinostomy (DCR),ENT Procedure,33060.3575
Endoscopic Hypophysectomy,ENT Procedure,50381.03894736842
Endoscopic Laser excision for Hypopharynx,Cancer Surgery,31885.891578947365
Endoscopic Optic Nerve Decompression,ENT Procedure,50354.808000000005
Endoscopic Polypectomy - GIT,Gastroenterology / Endoscopic Procedures,18872.326
Endoscopic Removal of Stone in Bladder,Nephrology And Urology Procedure,33458.7025
Endoscopic Surgery (ENT),ENT Procedure,33088.01789473684
Endoscopic Sympathectomy,Neuro-Surgery Procedure,60344.976
Endoscopic aqueductoplasty,Neuro-Surgery Procedure,50263.022
Endoscopic aspiration of intracerebellar haematoma,Neuro-Surgery Procedure,72433.9047368421
Endoscopic cranial surgery/Biopsy/aspiration,Neuro-Surgery Procedure,59171.45849999999
Endoscopic cysto gastrostomy,Gastroenterology / Endoscopic Procedures,18863.35
"Endoscopic discectomy (Lumbar, Cervical)",Neuro-Surgery Procedure,59892.768500000006
Endoscopic mucosal resection,Gastroenterology / Endoscopic Procedures,12657.515
Endoscopic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures,19017.327
Enteral stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures,19037.21
Entropion surgery- both lids,Ophthalmology Procedure,13429.64
Entropion surgery- one lid,Ophthalmology Procedure,8419.0255
Enucleation of the Eye.,Cancer Surgery,25197.492
Enucleation per eye(for non-malignant conditions),Ophthalmology Procedure,12704.902
Enucleation with orbital implants and artificial (Cost of implants included) per eye,Ophthalmology Procedure,19181.9185
Epicanthus correction - Both Eyes,Ophthalmology Procedure,8023.336999999999
Epididymectomy,Nephrology And Urology Procedure,19054.463157894737
Epigastric Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,25978.6565
Epilepsy surgery other than at Code No. NS049 and NS050,Neuro-Surgery Procedure,91328.418
Epiretinal Membrane (ERM) Peeling (per eye),Ophthalmology Procedure,7062.3460000000005
Epiretinal Membrane (ERM) Removal (per eye),Ophthalmology Procedure,2992.517
Erythrocyte Sedimentation Rate (ESR),Laboratory Investigation,99.137
Esophagoscopic Stent,Cancer Surgery,25389.4225
Esophagoscopy-Diagnostic,Cancer Surgery,6926.3545
Esophagoscopy-Therapeutic,Cancer Surgery,16019.191
Esophagus R.A,Cancer Surgery,31451.284736842103
Estlander Operation (Estlander flap in plastic surgery of lips),ENT Procedure,33377.66368421053
Estradiol (E2),Laboratory Investigation,395.859
Ethmoidectomy,Cancer Surgery,25012.9665
Evacuation /Excision of Brain Abscess by craniotomy,Neuro-Surgery Procedure,77330.1635
Evaluation under anaesthcsia,Cancer Surgery,6895.9685
Evisceration per eye,Ophthalmology Procedure,13339.290526315788
Evisceration with orbital implants and artificial (Cost of implants included) prosthesis per eye,Ophthalmology Procedure,19095.2405
Examination under anaesthesia (EUA),Obstetrics And Gynaecology Procedure,4919.56
Exchange Transfusion,Critical Care,3501.080526315789
Excision Biopsy of Superficial Lumps,Biopsies,9150.407
Excision Biopsy of Ulcers,Biopsies,5039.818499999999
"Excision Biopsy of lid, conjunctiva, cornea per eye",Ophthalmology Procedure,9289.639
Excision Cholangio + Liver Resection,Cancer Surgery,56846.737368421054
Excision Cholangiocarcinoma,Cancer Surgery,43985.2055
Excision Gland/Nodule,Cancer Surgery,7070.9631578947365
Excision STS neck/Mass neck.,Cancer Surgery,25227.256
Excision of Axillary Lymph Node under General Anaesthesia,General Surgery,8553.189
Excision of Branchial Cyst,ENT Procedure,26186.792
Excision of Branchial Sinus,ENT Procedure,26145.371
Excision of Carotid Body / Carotid Body Tumours,ENT Procedure,41201.0055
Excision of Carotid Body tumour.,Cancer Surgery,44739.523
Excision of Cervical Lymph Node under Local Anaesthesia,General Surgery,3090.8925
Excision of Clivus tumour (skull base + Reconstruction),Cancer Surgery,44427.7975
Excision of Corns,Skin Procedure,990.849
Excision of Cystic Hygroma,ENT Procedure,19074.4115
Excision of Cystic Hygroma Extensive,ENT Procedure,26106.8235
Excision of Dermoid Cysts,General Surgery,5010.6945
Excision of Filarial Scrotum,Nephrology And Urology Procedure,25930.0275
Excision of Inguinal Lymph Node under Local Anaesthesia,General Surgery,3008.813888888889
Excision of Keloid,General Surgery,9162.022
Excision of Lingual Thyroid,ENT Procedure,32794.620500000005
Excision of Lobe (Frontal Temporal Cerebellum etc.),Neuro-Surgery Procedure,78504.451
Excision of Meckel-s Diverticulum,Paediatric Surgery Procedure,40662.9435
Excision of Moles,Skin Procedure,998.9355
Excision of Molluscum Contagiosum,Skin Procedure,989.742
Excision of Pharyngeal Diverticulum,ENT Procedure,26130.747
Excision of Pilonidal Sinus (open),Abdomen/GI Surgery Procedure,23141.8
Excision of Pilonidal Sinus with closure,Abdomen/GI Surgery Procedure,26188.2315
Excision of Pinna for non-cancerous Growth/Injuries - Skin Only,ENT Procedure,9145.9235
Excision of Pinna for non-cancerous/ Injuries - Skin and Cartilage,ENT Procedure,13234.407894736842
Excision of Salivary gland,Dental Procedure,15010.5675
Excision of Sebaceous Cysts,General Surgery,4982.712
Excision of Small Intestine Fistula,Abdomen/GI Surgery Procedure,46595.37157894737
Excision of Superficial Lipoma,General Surgery,5022.7480000000005
Excision of Superficial Neurofibroma,General Surgery,5001.445263157895
Excision of Thyroglossal Cyst/Duct/Fistula,ENT Procedure,33140.843
Excision of Undescended Testis Tumor,Cancer Surgery,31612.015000000003
Excision of Vaginal Cyst/Bartholin Cyst/Gartner Cyst,Obstetrics And Gynaecology Procedure,9211.608499999998
Excision of Vaginal/Uterus Septum,Obstetrics And Gynaecology Procedure,19142.5665
Excision of Venereal Warts,Skin Procedure,1000.069
Excision of Warts,Skin Procedure,1008.247
Excision of hyperplastic tissue - per arch,Dental Procedure,1197.441
Excision of lumps under anaesthesia,General Procedure,13414.26157894737
Excision of mammary fistula,General Surgery,25832.435
Excision of mandible-segmental,ENT Procedure,33215.5285
Excision of parapharyngeal mass.,Cancer Surgery,24922.071
Excision of pinna,Cancer Surgery,15749.488
Excision of skin Malignancy Head &s Neck.,Cancer Surgery,15595.874
Excision of the Maxilla,ENT Procedure,40677.198
Excision of transnasal angiofibroma,Cancer Surgery,44210.4905
Excision of urethral carbuncle,Obstetrics And Gynaecology Procedure,12589.256842105264
Excision or other Operations for Scaphoid Fractures,Orthopaedics Procedure,33139.211
Excision/Pericardiac Window Open,Cancer Surgery,25318.32
Exenteration Anterior/Posterior,Cancer Surgery,57320.768
Exenteration Total,Cancer Surgery,56365.135
Exenteration per eye,Ophthalmology Procedure,18958.95736842105
Exenteration with skin grafting per eye,Ophthalmology Procedure,33308.127368421054
Exercises /Post Natal Exercises/Prenatal Exercises/Therapeutic Exercises/Orthopaedic Rehabilitation (Joint Replacement/Post Surgery)/Hand Rehab (per session),Physiotherapy,302.2094736842105
Expansion plate,Dental Procedure,6555.872631578947
Exploration + Ileo/Colostomy,Cancer Surgery,43819.9547368421
Exploration Emergency,Cancer Surgery,25193.426
Exploration of abdominal Haematoma (after laparotomy/ LSCS),Obstetrics And Gynaecology Procedure,26278.3665
Exploration of perineal Haematoma & Repair,Obstetrics And Gynaecology Procedure,12919.939473684211
Exploratory Laparotomy,Cancer Surgery,15700.8275
Exploratory Laparotomy (Open),Abdomen/GI Surgery Procedure,26227.885789473687
Exploratory Laporatomy/Thoracotomy (Inoperable),Cancer Surgery,15821.084
Extended Immune subset for Post Allogenic Stem Cell Transplant Monitoring,Oncology Investigations,4962.795263157895
"Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )",Laboratory Investigation,998.331
Extensive Burn -above 50% Frist Dressing,Burns And Plastic Surgery Procedure,6043.5375
Extensive Burn -above 50% Subsequent dressing,Burns And Plastic Surgery Procedure,3491.0195
External Fixation,Cancer Surgery,25405.622
External Loop/event recording - subsequent Days 1000/day (Maximum up to 6 days),Cardiology Investigation,1001.59
External Loop/event recording -first day Rs.1500,Cardiology Investigation,1506.8452631578948
External Ventricular Drainage (EVD),Neuro-Surgery Procedure,26271.17842105263
Extracapsular cataract extraction (ECCE) with IOL excluding the cost of IOL per eye,Ophthalmology Procedure,12805.115
Extracorporeal Irradiation,Cancer Surgery,25452.23157894737
Extracorporeal Shock Wave Lithotripsy (ESWL),Nephrology And Urology Procedure,41077.14315789474
Extracranial-Intracranial Bypass Procedures (EC-IC) bypass procedures,Neuro-Surgery Procedure,60754.3105
Extractable Nuclear Antigens (ENA) - Quantitative,Laboratory Investigation,4632.530000000001
Extraction - Normal Tooth,Dental Procedure,402.8675
Extraction - Orthodontic Extraction,Dental Procedure,750.3985
Extraction Impacted - Bony,Dental Procedure,5013.029
Extraction Impacted - Soft tissue/ 3rd Molar/wisdom tooth extraction,Dental Procedure,1986.9147368421047
"Eye Consultation(857,873,877 cannot be booked )",Consultation,347.807
Eye Lid Tumor Excision,Cancer Surgery,15860.29894736842
Eye laser pulse therapy /Lipiflow/IPL [Intense pulse light] per eye,Ophthalmology Procedure,3482.4275
Eye lid (upper/lower) Excision with reconstruction,Cancer Surgery,25097.188
Eyelid reconstruction with flap both eyes,Ophthalmology Procedure,24063.1585
Eyelid reconstruction with flap one eye,Ophthalmology Procedure,19163.356842105262
F-DOPA PET-CT scan,Nuclear Medicine Investigation,14881.8685
FDG Whole body PET CT Scan,Nuclear Medicine Investigation,14280.475263157894
FISH FOR HER2 Neu,Oncology Investigations,10048.2265
FISH PANEL FOR MYELOMA,Oncology Investigations,13875.46157894737
FISH Test for C19MC amplification,Oncology Investigations,12793.6045
FISH for 1p33/TAL1 deletion,Oncology Investigations,4935.301
FISH for t(10;11)(p12;q14)/MLLT10(AF10)/PICALM,Oncology Investigations,5006.657
FISH for t(11;19)(q23;p13.1)/KMT2A/ELL,Oncology Investigations,4947.153157894737
FISH for t(5;11)(q35;p15.5) NUP98/NSD1,Oncology Investigations,4945.300499999999
FISH for t(6;14)(p21;q32) IGH/CCND3,Oncology Investigations,4939.081
FISH on Bone marrow Smear( 1 marker),Oncology Investigations,3493.2647368421053
FISH on FFPE - Block /Slide (2 markers),Oncology Investigations,4777.9475
FISH on bone marrow smear( 2 markers),Oncology Investigations,5455.951
FISH test for CDKN2A,Oncology Investigations,7422.785263157895
FISH test for CEN 10 loss - on Tissue,Oncology Investigations,4144.7295
FISH test for ETV6 break-apart analysis - On Tissue,Oncology Investigations,6932.582
FISH test for MAML2 break-apart analysis - On Tissue,Oncology Investigations,7128.195
Facial Nerve Decompression,ENT Procedure,40784.789
Facial Space Abscess,Dental Procedure,4942.0185
Facial bones - Complicated Reduction with fixation,Dental Procedure,42672.0885
Facial nerve reconstruction,Neuro-Surgery Procedure,73415.8625
Factor Assays-Factor IX,Laboratory Investigation,1500.1225
Factor Assays-Factor VIII,Laboratory Investigation,1493.9273684210525
Factor V Leiden Mutation Detection,Oncology Investigations,6515.957
Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase,Laboratory Investigation,999.8905
Faecal calprotectin,Laboratory Investigation,2714.5195
FeNO Breathing Test,Pulmonology Investigation,718.807
Feeding appliance for Cleft Palate,Dental Procedure,4956.218
Femoral Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,33411.6575
Fetal Echo,Radiological Investigation,1616.1355
Fibreoptic examination of Larynx (FOL) under LA,ENT Investigation,5020.842
Fibrinogen,Laboratory Investigation,504.751
Fibro optic Nasal Endoscopy,ENT Investigation,2292.1665000000003
Fibroscan Liver,Radiological Investigation,1146.98
Fibula Lower End Reconstruction,Cancer Surgery,25094.135
Fibulectomy,Cancer Surgery,25187.596
Figure of 8 bandage,Orthopaedics Procedure,995.7855555555556
Fingers (post slab),Orthopaedics Procedure,996.8625
Fingers full plaster,Orthopaedics Procedure,1473.6225
Fissure in Ano - Fissurectomy,Abdomen/GI Surgery Procedure,26096.657
Fissure in Ano with Internal sphincterotomy with fissurectomy.,Abdomen/GI Surgery Procedure,32877.715000000004
Fistula in Ano - High Fistulectomy,Abdomen/GI Surgery Procedure,33266.0625
Fistula in Ano - Low Fistulectomy,Abdomen/GI Surgery Procedure,24084.267
Fistula stenosis dilation,Nephrology And Urology Procedure,12649.07
Fistulogram for Arteriovenous Fistula,Nephrology And Urology Investigation,9317.3175
Fixed orthodontic per arch,Dental Procedure,15000.003
Flap Reconstructive Surgery - Head and Neck,Burns and Plastic Surgery,60353.7755
Flap Surgery and Bone Graft per quadrant,Dental Procedure,3037.6694736842105
Flap Surgery- Per Quadrant,Dental Procedure,2003.9265
Flap Surgery- Per Tooth,Dental Procedure,452.2395
Floor of the Mouth -Composition resection.,Cancer Surgery,31693.0685
Floor of the Mouth Wide excision.,Cancer Surgery,25189.9485
Fluorescein angiography for fundus or iris- Both Eyes,Ophthalmology Investigation,2003.7825
Fluorescent PCR + fragment length analysis per Amplicon,Oncology Investigations,350.78684210526313
Fluoride Application for Children,Dental Procedure,1010.9644444444444
Foetal Haemoglobin (HbF),Laboratory Investigation,497.39400000000006
Folic Acid Assay.,Laboratory Investigation,651.508
Follicle stimulating hormone (FSH),Laboratory Investigation,400.0678947368421
Fontan Procedure,Cardiovascular And Cardiac Surgery Procedure,260336.2723529412
Foramen magnum decompression for Chiari Malformation,Neuro-Surgery Procedure,122275.6025
Formation of an Ileal Conduit,Nephrology And Urology Procedure,50578.5865
Fracture Reduction of Nasal Bone,ENT Procedure,12569.3615
Fracture orbital repair per eye,Ophthalmology Procedure,33176.30368421053
Free Grafts - Large Area 10%,Burns And Plastic Surgery Procedure,33342.974
Free Grafts - Thiersch- Small Area 5%,Burns And Plastic Surgery Procedure,19051.9915
Free Grafts - Very Large Area 20% and above.,Burns And Plastic Surgery Procedure,41093.968
Free Grafts - Wolfe Grafts,Burns And Plastic Surgery Procedure,18933.52368421053
Free Thyroxine (FT4),Laboratory Investigation,122.393
Free Triiodothyronine (FT3),Laboratory Investigation,125.607
Frenectomy,Dental Procedure,2509.6694736842105
Fructosamine,Laboratory Investigation,500.0915
Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,ENT Procedure,33495.4185
Functional Endoscopic Sinus Surgery (FESS) for Ethmoidal polyp,ENT Procedure,33414.87
Functional orthodontic appliance,Dental Procedure,6039.8
Fundus Photo Test /disc photo for glaucoma- Both Eyes,Ophthalmology Investigation,499.818
Fungal culture,Laboratory Investigation,496.32842105263154
Fusion Surgery Cervical/ Lumbar Spine up to 2 Level,Orthopaedics Procedure,60271.21684210527
Gait Assessment (per session),Physiotherapy,596.6522222222222
Gait Training (per session),Physiotherapy,301.458
Galactomannan,Laboratory Investigation,3113.6535
Gallium-68 Peptide PET / CT imaging for Neuroendocrine Tumour,Nuclear Medicine Investigation,14331.688421052631
Gamma-Glutamyl Transpeptidase (GGTP),Laboratory Investigation,149.753
Gaping Abdominal Wound Secondary Suturing,Obstetrics And Gynaecology Procedure,8457.5755
Gaping Perineal Wound Secondary Suturing,Obstetrics And Gynaecology Procedure,4993.0765
Gastrectomy (Bilroth-1)/(Bilroth-2) Distal Radical,Cancer Surgery,31548.36421052632
Gastrectomy (Radical) + Extended Lymphad,Cancer Surgery,56408.86949999999
Gastrectomy Partial,Cancer Surgery,31554.797
Gastrectomy Proximal Radical,Cancer Surgery,31283.992631578945
Gastrectomy Total,Cancer Surgery,43815.053
Gastric By-Pass,Cancer Surgery,25051.341
Gastric Emptying,Gastro and Hepatobiliary/Nuclear Medicine Investigation,2510.3352941176468
Gastric Wedge Resection,Cancer Surgery,25093.3725
Gastro Oesophageal Reflux Study (GER Study),Gastro and Hepatobiliary Investigation,2993.145
Gastro-Jejunostomy,Cancer Surgery,25170.916
Gastrointestinal (GIT) Foreign body removal,Gastroenterology / Endoscopic Procedures,18858.2505
Gastrointestinal Bleed (GloB.) Study with Technetium 99m labeled RBCs.,Gastro and Hepatobiliary/Nuclear Medicine Investigation,5926.3215
Gastroschisis Repair,Paediatric Surgery Procedure,40849.401
Gastroscopy,Cancer Surgery,6899.5455
Gastroscopy/Upper GI Endoscopy with or without Biopsy,Gastroenterology / Endoscopic Procedures,3997.8365
Gastrostomy,Abdomen/GI Surgery Procedure,26056.6585
Gastrostomy,Cancer Surgery,15720.9375
Gastrotomy,Cancer Surgery,15738.631
GeneCORE Somatic 161 Gene Panel (NGS),Oncology Investigations,30150.356
GeneXpert Test (Tuberculosis),Laboratory Investigation,1046.056
General:Fistulography / Sinography/Sialography/Dacrocystography/ T-Tube cholangiogram/Nephrostogram,Radiological Investigation,1262.66
Genioplasty,ENT Procedure,33164.084
Gingivectomy - Per Quadrant,Dental Procedure,1203.8629999999998
Gingivoplasty - Per Quadrant,Dental Procedure,994.5
Glass ionomer Cement Restoration,Dental Procedure,601.615
Glaucoma surgery with Glaucoma valves (Cost of Valve extra) per eye,Ophthalmology Procedure,19220.52
Globe exploration per eye,Ophthalmology Procedure,9530.664
Glosectomy-Anterior 2/3rd,Cancer Surgery,31842.121000000003
"Glossectomy Total,",Cancer Surgery,31510.3225
Glucose (Fasting & PP),Laboratory Investigation,79.44550000000001
Glucose Tolerance Test (GTT),Laboratory Investigation,300.404
Glucose-6-Phosphate Dehydrogenase (G6PD),Laboratory Investigation,299.6305
Glue injection of varices,Gastroenterology / Endoscopic Procedures,13381.839000000002
Glutamic Acid Decarboxylase Autoantibodies test (GAD antibodies),Laboratory Investigation,1994.6175
Glycosylated Haemoglobin (HbA1c),Laboratory Investigation,297.822
Gonioscopy- Both Eyes,Ophthalmology Investigation,302.61947368421056
Goniotomy per eye,Ophthalmology Procedure,4944.8035
Green Light Laser for Prostate,Nephrology And Urology Procedure,71873.3315
Groin + liac Node Dissection,Cancer Surgery,25249.941
Groin Node Dissection,Cancer Surgery,25174.09947368421
Groin Node Dissection (Bilateral),Cancer Surgery,56542.8585
Groin Node Dissection (Uni),Cancer Surgery,24931.715
Growth Hormone,Laboratory Investigation,598.258
"Growth scan (including BPP, AFI, Doppler)",Radiological Investigation,2018.9731578947367
H pylori serology for Coeliac disease /Celiac disease,Laboratory Investigation,1200.5955
H1N1 (RT-PCR),Laboratory Investigation,1100.041
HBV genotyping,Laboratory Investigation,2866.344
HBeAb (Hepatitis B envelope Antibody),Laboratory Investigation,360.666
HBeAg (Hepatitis B envelope Antigen),Laboratory Investigation,358.83421052631576
HBsAg Quantitative,Laboratory Investigation,655.3145
HCV RNA Quantitative,Laboratory Investigation,1841.5755
HCV genotyping,Laboratory Investigation,5641.4245
HIAA 24 Hours Urinary,Laboratory Investigation,2310.713684210526
HIV Viral Load by PCR,Laboratory Investigation,5010.4025
HLA B27 (PCR),Laboratory Investigation,577.364
"HLA C, DQB Molecular Typing PCR - SSP",Oncology Investigations,7401.336999999999
HLA Disease Association Next Generation Sequencing HLA-A/B/DRB1/G,Oncology Investigations,4701.134
HLA Disease Association Sequence based Typing HLA A/B/DRB1,Oncology Investigations,4789.99
HLA Drug Hypersensitivity Next Generation Sequencing HLA-A/B/DRB1 HLA-A/B/DRB1/G,Oncology Investigations,4689.836499999999
HLA Drug Hypersensitivity Typing HLA-A/B/DRB1,Oncology Investigations,4846.746499999999
HLA Loss Chimerism,Oncology Investigations,12030.4235
"HLA-A, B, C, DRB1, DQB1, DPB1 (Sequence Based Typing - SBT)",Oncology Investigations,14968.116
"HLA-A, B, DRB1 (Sequence Based Typing - SBT)",Oncology Investigations,10001.238
"HLA-A, B, DRB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations,7803.786999999999
"HLA-C, DQB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations,5237.349444444444
HRR Gene Test,Oncology Investigations,31006.1915
HSV 1 & 2 IgG,Laboratory Investigation,813.836
Haemodialysis / Haemodialysis for Sero Positive cases including Dialyser and all other Consumables,Nephrology And Urology Procedure,3009.2485
Haemodialysis / Haemodialysis for Sero negative cases including Dialyser and all other Consumables,Nephrology And Urology Procedure,2497.9894444444444
Haemoglobin (Hb),Laboratory Investigation,50.0042105263158
Haemorrhoidectomy,General Surgery,31234.894736842107
Hairy Cell Leukemia Mutation (BRAF V600E) Detection,Oncology Investigations,3516.981
Head & Neck-contd,Cancer Surgery,25019.8305263158
Head Up Tilt Test (HUTT),Cardiology Investigation,9201.173
Hearing Aid Trail,ENT Investigation,198.7435
Heart Transplant Surgery,Cardiovascular And Cardiac Surgery Procedure,1435269.5115
Heller-s Operation,Abdomen/GI Surgery Procedure,40995.165
Hematolymphoid Malignancy At Diagnosis- Cancer Cytogenetics Testing,Oncology Investigations,16907.0135
Hematolymphoid Malignancy Follow-up- Cancer Cytogenetics Testing,Oncology Investigations,15162.151500000002
Hemiarthroplasty- Hip,Orthopaedics Procedure,59841.1835
Hemiarthroplasty- Shoulder,Orthopaedics Procedure,50973.2015
Hemicolectomy/Sigmoid Colectomy/transverse-colectomy),Cancer Surgery,25065.592631578947
Hemiglossectomy Peroral.,Cancer Surgery,25223.2415
Hemiglossectomy peroral neck dissection.,Cancer Surgery,31458.674
Hemipelvectomy (Paediatric),Cancer Surgery,31272.07736842105
Hemipelvectomy External,Cancer Surgery,56720.6265
Hemipelvectomy Internal,Cancer Surgery,56480.696
Hemispherotomy for Epilepsy,Neuro-Surgery Procedure,76885.20300000001
Hemithyroidectomy,ENT Procedure,33438.87368421053
Heostomy,Cancer Surgery,15946.952
Heostomy Closure,Cancer Surgery,15823.236
Hepatectomy Left Extended,Cancer Surgery,56606.8435
Hepatectomy Left Lateral,Cancer Surgery,44072.89175
Hepatectomy Right,Cancer Surgery,43301.1645
Hepatectomy Right Extended,Cancer Surgery,56915.806
Hepatic Excision,Cancer Surgery,25147.79105263158
Hepatic Metastatectomy,Cancer Surgery,31243.54947368421
Hepatic Port Placement/Port Removal,Cancer Surgery,25192.8505
Hepatic Resections (Lobectomy /Hepatectomy),Abdomen/GI Surgery Procedure,34344.091578947366
Hepatic Wedge Excision,Cancer Surgery,31631.835263157893
Hepatico-Jejunostomy,Cancer Surgery,31190.13105263158
