sno,procedure_name,speciality,tier,facility,ward,cghs_code,rate
534,Cost of Conduit,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV13U100,0.0
535,Cost of Fractional flow reserve (FFR) Catheter excluding GST,Cardiology Add on,TIER,NABH,GENERAL,CP024,33000.0
536,Cost of Haemorrhoidectomy Stappler,General Surgery,TIER I,NABH,GENERAL WARD,IMGS01U100,0.0
537,Cost of Intravascular ultrasound (IVUS) Catheter excluding,Cardiology Add on,TIER,NABH,GENERAL,CP023,55000.0
538,Cost of RFA Ablation Catheter for Varicose Veins,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV01U100,0.0
539,Cost of the Arterio Venous Prosthetic Graft,Nephrology And Urology,TIER I,NABH,GENERAL WARD,IMNU03U100,0.0
540,Cost of the Balloon used in Balloon dilatation of Aortic coarctation,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV18U100,0.0
541,Cost of the Biliary Stent - Metallic,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG06U100,0.0
542,Cost of the Biliary Stent - Plastic,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG05U100,0.0
543,Cost of the CAIRS Corneal allogenic intrastromal ring segments per eye,Ophthalmology,TIER I,NABH,GENERAL WARD,IMOP03U100,0.0
544,Cost of the Colonic Stent,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG04U100,0.0
545,Cost of the Composite Mesh,Abdomen/GI Surgery,TIER I,NABH,GENERAL WARD,IMAG02U100,0.0
546,Cost of the DJ Stent,Nephrology And Urology,TIER I,NABH,GENERAL WARD,IMNU01U100,0.0
547,Cost of the Device Used in Programmable Ventriculo-Peritoneal (VP) shunt,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS26U100,0.0
548,Cost of the EUS (Endoscopic Ultrasound) Needle,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG08U100,0.0
549,Cost of the Endoscopy Capsule,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG03U100,0.0
550,Cost of the Endovascular Aneurysm Coils,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS29U100,0.0
551,Cost of the Enteral Stent,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG02U100,0.0
552,Cost of the Glaucoma valve/Glaucoma Ahmed valve per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP077,15000.0
553,Cost of the Graft Used in Carotid Endarterectomy,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS10U100,0.0
554,Cost of the Graft Used in Maxillectomy- partial with graft,Dentistry,TIER I,NABH,GENERAL WARD,IMDP04U100,0.0
555,Cost of the Graft Used in Maxillectomy/Mandibulectomy- Total with graft,Dentistry,TIER I,NABH,GENERAL WARD,IMDP03U100,0.0
556,Cost of the Graft Used in Segmental / Hemi Mandibulectomy with graft,Dentistry,TIER I,NABH,GENERAL WARD,IMDP01U100,0.0
557,Cost of the Graft Used in Sub-Total mandibulectomy with graft,Dentistry,TIER I,NABH,GENERAL WARD,IMDP02U100,0.0
558,Cost of the Implants Used in AO Compression Procedures for Fracture Neck Femur,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR07U100,0.0
559,Cost of the Implants Used in Anterio Lateral Decompression of spine,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS04U100,0.0
560,Cost of the Implants Used in Anterior Cervical Spine Surgery with fusion,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS03U100,0.0
561,Cost of the Implants Used in Anterior Cruciate Ligament (ACL) Reconstruction,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR44U100,0.0
562,Cost of the Implants Used in Anterolateral Decompression and Spine,Orthopaedics,TIER,NABH,GENERAL,IMOR12U100,0.0
563,Cost of the Implants Used in Anterolateral decompression for tuberculosis/ Costo-Transversectomy,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR11U100,0.0
564,Cost of the Implants Used in Arthrodesis of - Major Joints,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR16U100,0.0
565,Cost of the Implants Used in Arthrodesis of - Minor Joints,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR15U100,0.0
566,Cost of the Implants Used in Arthroscopy-therapeutic: with implant,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR19U100,0.0
567,Cost of the Implants Used in Baclofen pump implantation for spasticity,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS36U100,0.0
568,Cost of the Implants Used in Balloon Kyphoplasty,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS38U100,0.0
569,Cost of the Implants Used in Bankart Repair Shoulder,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR47U100,0.0
570,Cost of the Implants Used in Biceps Tenodesis,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR49U100,0.0
571,Cost of the Implants Used in Cervical Laminoplasty,Neuro-Surgery,TIER,NABH,GENERAL,IMNS23U100,0.0
572,Cost of the Implants Used in Cervical disc arthroplasty,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS21U100,0.0
573,Cost of the Implants Used in Cervical or Dorsal or Lumbar Laminectomy,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS05U100,0.0
574,Cost of the Implants Used in Combined Trans-Oral Surgery & Craniovertebral (CV) Junction Fusion,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS06U100,0.0
575,Cost of the Implants Used in Corrective Osteotomy & Internal Fixation-long bones,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR14U100,0.0
576,Cost of the Implants Used in Corrective Osteotomy & Internal Fixation-short bones,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR13U100,0.0
577,Cost of the Implants Used in Craniovertebral Junction (CVJ) Fusion procedures,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS07U100,0.0
578,Cost of the Implants Used in Depressed Fracture Elevation,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS08U100,0.0
579,Cost of the Implants Used in Distal biceps tendon repair,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR50U100,0.0
580,Cost of the Implants Used in Dorsal column stimulation for backache in failed back syndrome,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS34U100,0.0
581,Cost of the Implants Used in Dynamic Hip Screw (DHS) for Fracture Neck Femur,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR56U100,0.0
582,Cost of the Implants Used in Endoscopic aqueductoplasty,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS19U100,0.0
583,"Cost of the Implants Used in Endoscopic discectomy (Lumbar, Cervical)",Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS28U100,0.0
584,Cost of the Implants Used in Facial bones - Complicated Reduction with fixation,Dentistry,TIER I,NABH,GENERAL WARD,IMDP05U100,0.0
585,Cost of the Implants Used in Foramen magnum decompression for Chiari Malformation,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS33U100,0.0
586,Cost of the Implants Used in Fusion Surgery Cervical/ Lumbar Spine upto 2 Level,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR52U100,0.0
587,Cost of the Implants Used in Hemiarthroplasty- Hip,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR17U100,0.0
588,Cost of the Implants Used in Hemiarthroplasty- Shoulder,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR18U100,0.0
589,Cost of the Implants Used in Knee Collateral Ligament Reconstruction,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR46U100,0.0
590,Cost of the Implants Used in Kyphoplasty,Neuro-Surgery,TIER,NABH,GENERAL,IMNS37U100,0.0
591,Cost of the Implants Used in Lateral mass C1-C2 screw fixation,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS24U100,0.0
592,Cost of the Implants Used in Lumbar Discectomy,Neuro-Surgery,TIER,NABH,GENERAL,IMNS09U100,0.0
593,Cost of the Implants Used in Lumbar disc arthroplasty,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS22U100,0.0
594,Cost of the Implants Used in Meniscus Repair,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR43U100,0.0
595,Cost of the Implants Used in Multiple Pinning Fracture Neck Femur,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR05U100,0.0
596,Cost of the Implants Used in Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR01U100,0.0
597,Cost of the Implants Used in Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR09U100,0.0
598,Cost of the Implants Used in Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR08U100,0.0
599,Cost of the Implants Used in Open Reduction of fracture of Long Bones of Upper / Lower Limb -Nailing & External Fixation,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR02U100,0.0
600,Cost of the Implants Used in Open Reduction of fracture of Long Bones of Upper /Lower Limb -AO Procedures,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR03U100,0.0
601,Cost of the Implants Used in Pelvi-acetabular fracture -Internal fixation,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR42U100,0.0
602,Cost of the Implants Used in Plate Fixations for Fracture Neck Femur,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR06U100,0.0
603,Cost of the Implants Used in Posterior Cruciate Ligament (PCL) Reconstruction,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR45U100,0.0
604,Cost of the Implants Used in Proximal Femur Nail (PFN) for IT fracture (Intertrochanteric Fractures),Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR57U100,0.0
605,Cost of the Implants Used in Rotator cuff repair / RC repair,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR48U100,0.0
606,Cost of the Implants Used in Scoliosis Surgery/ Deformity Correction of Spine,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR54U100,0.0
607,Cost of the Implants Used in Spinal Fixation Cervical/dorsolumbar/ lumbosacral,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR51U100,0.0
608,Cost of the Implants Used in Spinal Fusion Procedure,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS11U100,0.0
609,Cost of the Implants Used in Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR53U100,0.0
610,Cost of the Implants Used in Spinal Osteotomy,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR58U100,0.0
611,Cost of the Implants Used in Split Osteotomy and Internal Fixations,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR10U100,0.0
612,Cost of the Implants Used in Surgery for Skull Fractures,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS30U100,0.0
613,Cost of the Implants Used in Surgery for intracranial Arteriovenous malformations (AVM),Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS32U100,0.0
614,Cost of the Implants Used in Surgery for recurrent disc prolapse/ epidural fibrosis,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS35U100,0.0
615,Cost of the Implants Used in Tension Band Wirings,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR04U100,0.0
616,Cost of the Implants Used in Total Ankle Joint Replacement (TAR) - Unilateral,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR21U100,0.0
617,Cost of the Implants Used in Total Elbow Joint Replacement - Unilateral,Orthopaedics,TIER,NABH,GENERAL,IMOR39U100,0.0
618,Cost of the Implants Used in Total Finger Joint Replacement,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR41U100,0.0
619,Cost of the Implants Used in Total Hip Replacement (THR),Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR20,40000.0
620,Cost of the Implants Used in Total Hip Replacement (THR) Revision,Orthopaedics,TIER,NABH,GENERAL,IMOR37U100,0.0
621,Cost of the Implants Used in Total Shoulder Joint Replacement -,Orthopaedics,TIER,NABH,GENERAL,IMOR38U100,0.0
622,Cost of the Implants Used in Total Wrist Joint Replacement - Unilateral,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR40U100,0.0
623,Cost of the Implants Used in Vertebroplasty,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR55U100,0.0
624,Cost of the Intra Vascular Coils,Cardiology,TIER I,NABH,GENERAL WARD,IMCP17U100,0.0
625,Cost of the Lacrimal Implants per eye,Ophthalmology,TIER I,NABH,GENERAL WARD,IMOP01U100,0.0
626,Cost of the Needle - Endo bronchial Ultrasound (EBUS) -Trans bronchial,Pulmonology,TIER,NABH,GENERAL,IMPP01U100,0.0
627,Cost of the Oesophageal Stent,Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG01U100,0.0
628,Cost of the Permcath catheter,Nephrology And Urology,TIER I,NABH,GENERAL WARD,IMNU02U100,0.0
629,Cost of the Simple Mesh,Abdomen/GI Surgery,TIER I,NABH,GENERAL WARD,IMAG01U100,0.0
630,Cost of the Stent Used in Carotid Stenting,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS20U100,0.0
631,Cost of the Stent used in Coarctation Dilatation with Stenting,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV19U100,0.0
632,Cost of the Stent used in Transjugular Intrahepatic Portosystemic Shunt (TIPS),Medical Gastroenterology,TIER I,NABH,GENERAL WARD,IMMG07U100,0.0
633,Cost of the Tacker,Abdomen/GI Surgery,TIER,NABH,GENERAL,IMAG03U100,0.0
634,Cost of the Trabeculotomy /kahook dual blade goniotomy excluding blade cost per eye,Ophthalmology,TIER I,NABH,GENERAL WARD,IMOP02U100,0.0
635,Covid Antibody Test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB272,700.0
636,Cranio-Facial resection,ENT Procedure,TIER I,NABH,GENERAL WARD,EP029,40850.0
637,Cranioplasty,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS019,59850.0
638,Cranioplasty Implants,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS01U100,0.0
639,Craniotomy and Evacuation of Haematoma - Extradural,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS006,77900.0
640,Craniotomy and Evacuation of Haematoma -Subdural,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS005,77900.0
641,Craniotomy for posterior fossa tumors with navigation (TMH - Head & Neck) (G6S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH350,40500.0
642,Craniotomy for supratentorial tumors - without navigation (TMH - Head & Neck) (G6S4),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH351,40500.0
643,Craniovertebral Junction (CVJ) Fusion procedures,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS030,72200.0
644,Creatine Phosphokinase (CPK)/Creatine Kinase (CK),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB103,230.0
645,Creatinine Clearance,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB073,200.0
646,Cross Match,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB037,200.0
647,Crown - All Metal-Nickel Free,Dental Procedure,TIER I,NABH,GENERAL WARD,DP044,2000.0
648,Crown - Metal with Ceramic Facing,Dental Procedure,TIER I,NABH,GENERAL WARD,DP045,3000.0
649,Crown - PMMA Crown,Dental Procedure,TIER I,NABH,GENERAL WARD,DP043,1000.0
650,Crown - Recementation,Dental Procedure,TIER I,NABH,GENERAL WARD,DP046,600.0
651,Crown - Removal,Dental Procedure,TIER I,NABH,GENERAL WARD,DP047,500.0
652,Crown lengthening - Per Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP042,500.0
653,Cryoglobulins,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB273,1000.0
654,Cryptococcal antigen,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB212,1500.0
655,Curettage + Cement / Bone Graft (TMH - Bone & Soft Tissue) (G4S64),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH263,22500.0
656,Curettage and Root Planning - Per Arch,Dental Procedure,TIER I,NABH,GENERAL WARD,DP004,2000.0
657,Curettage and Root Planning - Per Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP003,350.0
658,Custom Sequencing Assay,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA044,11040.0
659,Cyclocryotherapy /Trans scleral cyclophotocoagulation TSCPC per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP080,5000.0
660,Cyclosporine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB117,2500.0
661,Cyst of Maxilla/mandible by enucleation/excision/marsupialization more than 4 cms under GA and admission,Dental Procedure,TIER I,NABH,GENERAL WARD,DP098,23750.0
662,Cyst of Maxilla/mandible by enucleation/excision/marsupialization more than 4 cms under LA,Dental Procedure,TIER I,NABH,GENERAL WARD,DP097,6000.0
663,Cyst of Maxilla/mandible by enucleation/excision/marsupialization upto 4 cms under LA,Dental Procedure,TIER I,NABH,GENERAL WARD,DP096,5000.0
664,Cystectomy - Partial (TMH - Genitourinary / Gynaecology) (G5S34),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH331,31500.0
665,Cysto-Gastrostomy (TMH - G.I. Surgery) (G4S33),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH232,22500.0
666,Cysto-Litholapaxy,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU041,33250.0
667,Cystojejunostomy or Cystogastrostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG036,40850.0
668,Cystolithotomy -Suprapubic,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU142,26125.0
669,Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder) -excluding cost of drug,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU165,12730.0
670,Cystoscopy (TMH - Genitourinary / Gynaecology) (G2S42),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH070,11250.0
671,Cystoscopy + DJ Stenting (TMH - Genitourinary / Gynaecology) (G3S111),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH188,18000.0
672,Cystoscopy with Retrograde Catheter - Bilateral/RGP,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU158,26125.0
673,Cystoscopy with Retrograde Catheter -Unilateral/RGP,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU157,19000.0
674,Cystostomy - Suprapubic (TMH - Genitourinary / Gynaecology) (G3S112),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH189,18000.0
675,Cytogenetics,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB274,5000.0
676,D Xylose test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB213,1100.0
677,D-Dimer,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB200,500.0
678,DALK- Deep anterior lamellar keratoplasty per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP020,40850.0
679,DBS-Non-Rechargeable Device with Directional Leads,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS13,1032586.0
680,DBS-Non-Rechargeable Device with Non-Directional Leads,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS12,837497.0
681,DBS-Rechargeable Device with Directional Leads,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS15,1389936.0
682,DBS-Rechargeable Device with Non-Directional Leads,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS14,1124049.0
683,DCP (DES Gamma-Carboxy- Prothrombin),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB321,3350.0
684,DICER1 Mutation,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA045,3880.0
685,DJ stent removal,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU039,9570.0
686,DSAEK Descemet-s stripping automated endothelial keratoplasty/ DMEK-Descemet membrane endothelial keratoplasty per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP022,40850.0
687,Dacryocystectomy per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP033,9200.0
688,Dacryocystography - Bilateral,Ophthalmology Investigation,TIER I,NABH,GENERAL WARD,OI027,2000.0
689,Dacryocystorhinostomy-Plain,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP029,12730.0
690,Dacryocystorhinostomy-Plain with intubation and/or with lacrimal implants excluding the cost of implant per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP030,19000.0
691,Dacryocystorhinostomy-conjunctival with implant excluding the cost of implant per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP031,19000.0
692,Day Care Charges (Accomidation only ),Ward charges,TIER I,NABH,GENERAL WARD,WC002,1500.0
693,Debridement of Large wounds including Diabetic Wound under Anaesthesia,General Surgery,TIER I,NABH,GENERAL WARD,GS020,26125.0
694,Debridement of wounds - Small,General Surgery,TIER I,NABH,GENERAL WARD,GS005,1650.0
695,Decompressive craniotomy for hemispherical acute subdural haematoma/ brain swelling/large infarct,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS077,77900.0
696,Dehydroepiandrosterone sulfate (DHEAS),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB171,1000.0
697,Dengue IgM and Ig G,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB270,800.0
698,Dengue NS1 Ag,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB269,400.0
699,Depressed Fracture Elevation,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS031,50350.0
700,Dermabrasion Face,Burns And Plastic Surgery Procedure,TIER I,NABH,GENERAL WARD,BP032,40850.0
701,Desmoglein (DSG) 1 And 3 Antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB322,5400.0
702,"Dexa Scan Bone Densitometry - Three sites (Spine, Hip &extremity)",Radiological Investigation,TIER I,NABH,GENERAL WARD,RI146,2500.0
703,Dexa Scan Bone Densitometry - Two sites,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI145,2000.0
704,Dexa Scan Bone Densitometry Whole body,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI147,3000.0
705,Diagnostic Angiography,Gastroenterology/,TIER,NABH,GENERAL,GI007,9200.0
706,Diagnostic Cystoscopy,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU156,8500.0
707,Diagnostic Digital Subtraction Angiography (DSA) cerebral vessels,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI059,13400.0
708,Diagnostic Electrophysiological studies conventional (Including catheter),Cardiology Investigation,TIER I,NABH,GENERAL WARD,CI008,72600.0
709,Diagnostic Hysteroscopy (TMH - Genitourinary / Gynaecology) (G2S40),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH068,11250.0
710,Diagnostic Hysteroscopy with or without endometrial Biopsy,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG077,20000.0
711,Diagnostic Peritonioscopy/Laparoscopy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG048,19000.0
712,Diagnostic endoscopy under GA,ENT Procedure,TIER I,NABH,GENERAL WARD,EP041,5000.0
713,Diagnostic hysterolaparoscopy(DHL) with or without chromopertubation/Adhesiolysis/ovarian drilling,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG042,19000.0
714,Diagnostic hysteroscopy with or without polypectomy/endometrial curettage,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG049,19000.0
715,Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS001,50350.0
716,Differential Leucocytic Count (DLC),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB009,100.0
717,Digital OPG with X ray film/ CD,Dental Investigation,TIER I,NABH,GENERAL WARD,DI003,500.0
718,Digital Subtraction Angiography- venogram,Cardiology,TIER,NABH,GENERAL,CI015,14610.0
719,Digital Subtraction Angiography-Peripheral artery,Cardiology,TIER,NABH,GENERAL,CI014,14610.0
720,Dilantin (Phenytoin),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB115,600.0
721,Dilatation & Curettage (TMH - Genitourinary / Gynaecology) (G1S25),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH025,4500.0
722,Dilatation and Curettage(diagnostic/therapeutic) with or without Polypectomy,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG037,13400.0
723,Dilatation of Stricture Urethra under G.A.,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU149,5000.0
724,Direct Immunofluorescence (Skin and Kidney Disease etc),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB152,1200.0
725,Direct Laryngoscopy including Biopsy under GA,ENT Procedure,TIER I,NABH,GENERAL WARD,EP053,13400.0
726,Direct Operation on Oesophagus for Portal Hypertension,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG032,50350.0
727,Disarticulations - Major joint,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR076,40850.0
728,Disarticulations - Minor joint,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR077,33250.0
729,Discectomy/ Micro Discectomy,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR115,77900.0
730,Distal biceps tendon repair,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR105,50350.0
731,Distraction osteogenesis of mandible or maxilla under GA,Dental Procedure,TIER I,NABH,GENERAL WARD,DP110,28500.0
732,Diurnal variation of IOP - Both Eyes,Ophthalmology Investigation,TIER I,NABH,GENERAL WARD,OI020,1500.0
733,Diverticulectomy -Endoscopic incision of neck,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU047,33250.0
734,Diverticulectomy -open,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU045,40850.0
735,Diverticulectomy- Lap/Endoscopic,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU046,50350.0
736,Donor Nephrectomy (Laparoscopic),Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU102,104500.0
737,Donor Nephrectomy (Open),Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU101,59850.0
738,Donor Specific Antibodies (DSA),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA046,8000.0
739,Dorsal column stimulation for backache in failed back syndrome,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS075,59850.0
740,Double Hip spica,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR019,8500.0
741,Double Lumen Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU112,13400.0
742,"Double Marker (Beta-hCG,PAPP-A)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB295,2000.0
743,Double Switch Operation (DSO),Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV009,224200.0
744,Double Valve Replacement (DVR),Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV018,224200.0
745,Drainage of abscess with anaesthesia,General Procedure,TIER I,NABH,GENERAL WARD,GP012,13400.0
746,Dressings of wounds,General Procedure,TIER I,NABH,GENERAL WARD,GP001,300.0
747,"Drug eluting coronary stents( All DCGI approved, DCGI and FDA approved , All DCGI and CE approved)",Cardiology,TIER I,NABH,GENERAL WARD,IMCP01,23625.0
748,Drugs,All specialities,TIER I,NABH,GENERAL WARD,US003,0.0
